      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_v2>  <n_iter_dr>
         0  0.000000e+00           N/A  1.480969e+02  3.066874e-01  1.091955e+01       N/A       N/A       N/A          N/A          N/A
    100000  5.467577e+00  5.467577e-05  4.089735e+00  3.050323e-01  2.373572e+01  1.05e-01  9.56e-05  8.69e-01  0.00000e+00  2.00000e+00
    200000  1.871441e+01  1.324683e-04  2.830034e+00  3.006883e-01  2.713880e+01  1.23e-01  1.86e-03  6.15e-01  0.00000e+00  1.99773e+00
    300000  3.257573e+01  1.386132e-04  2.582926e+00  2.988674e-01  2.803711e+01  1.09e-01  6.34e-03  6.42e-01  0.00000e+00  1.99114e+00
    400000  4.869332e+01  1.611759e-04  2.515453e+00  2.986134e-01  2.819979e+01  1.22e-01  8.78e-05  5.69e-01  0.00000e+00  2.00000e+00
    500000  6.257362e+01  1.388030e-04  2.529134e+00  2.994737e-01  2.800531e+01  1.04e-01  8.91e-05  6.41e-01  0.00000e+00  2.00000e+00
    600000  7.069109e+01  8.117477e-05  2.554792e+00  3.000783e-01  2.780810e+01  6.18e-02  9.34e-05  8.92e-01  0.00000e+00  2.00000e+00
    700000  7.869896e+01  8.007867e-05  2.589622e+00  3.006187e-01  2.757076e+01  6.18e-02  9.41e-05  8.92e-01  0.00000e+00  2.00000e+00
    800000  8.658754e+01  7.888580e-05  2.631770e+00  3.011136e-01  2.730411e+01  6.19e-02  9.39e-05  8.92e-01  0.00000e+00  2.00000e+00
    900000  9.434989e+01  7.762349e-05  2.679989e+00  3.015745e-01  2.701590e+01  6.21e-02  9.40e-05  8.92e-01  0.00000e+00  2.00000e+00
   1000000  1.019813e+02  7.631369e-05  2.733415e+00  3.020120e-01  2.671180e+01  6.23e-02  9.43e-05  8.92e-01  0.00000e+00  2.00000e+00
   1100000  1.094785e+02  7.497191e-05  2.791436e+00  3.024319e-01  2.639609e+01  6.26e-02  9.43e-05  8.91e-01  0.00000e+00  2.00000e+00
   1200000  1.168395e+02  7.361041e-05  2.853612e+00  3.028369e-01  2.607201e+01  6.29e-02  9.43e-05  8.91e-01  0.00000e+00  2.00000e+00
   1300000  1.240633e+02  7.223855e-05  2.919624e+00  3.032308e-01  2.574206e+01  6.32e-02  9.45e-05  8.91e-01  0.00000e+00  2.00000e+00
   1400000  1.311498e+02  7.086485e-05  2.989243e+00  3.036168e-01  2.540819e+01  6.35e-02  9.48e-05  8.91e-01  0.00000e+00  2.00000e+00
   1500000  1.380991e+02  6.949219e-05  3.062299e+00  3.039963e-01  2.507195e+01  6.39e-02  9.50e-05  8.91e-01  0.00000e+00  2.00000e+00
   1600000  1.449118e+02  6.812709e-05  3.138676e+00  3.043706e-01  2.473456e+01  6.42e-02  9.54e-05  8.91e-01  0.00000e+00  2.00000e+00
   1700000  1.515890e+02  6.677257e-05  3.218295e+00  3.047409e-01  2.439700e+01  6.46e-02  9.57e-05  8.91e-01  0.00000e+00  2.00000e+00
   1800000  1.581321e+02  6.543049e-05  3.301104e+00  3.051082e-01  2.406006e+01  6.50e-02  9.54e-05  8.91e-01  0.00000e+00  2.00000e+00
   1900000  1.645425e+02  6.410400e-05  3.387078e+00  3.054730e-01  2.372437e+01  6.54e-02  9.56e-05  8.91e-01  0.00000e+00  2.00000e+00
   2000000  1.708219e+02  6.279427e-05  3.476210e+00  3.058361e-01  2.339044e+01  6.59e-02  9.55e-05  8.91e-01  0.00000e+00  2.00000e+00
   2100000  1.769722e+02  6.150302e-05  3.568512e+00  3.061978e-01  2.305869e+01  6.63e-02  9.51e-05  8.91e-01  0.00000e+00  2.00000e+00
   2200000  1.829952e+02  6.022979e-05  3.664004e+00  3.065585e-01  2.272945e+01  6.67e-02  9.52e-05  8.91e-01  0.00000e+00  2.00000e+00
   2300000  1.888929e+02  5.897740e-05  3.762723e+00  3.069186e-01  2.240298e+01  6.72e-02  9.55e-05  8.91e-01  0.00000e+00  2.00000e+00
   2400000  1.946673e+02  5.774420e-05  3.864715e+00  3.072784e-01  2.207951e+01  6.76e-02  9.54e-05  8.91e-01  0.00000e+00  2.00000e+00
   2500000  2.003207e+02  5.653328e-05  3.970036e+00  3.076380e-01  2.175920e+01  6.81e-02  9.48e-05  8.91e-01  0.00000e+00  2.00000e+00
   2600000  2.058549e+02  5.534198e-05  4.078749e+00  3.079977e-01  2.144220e+01  6.85e-02  9.43e-05  8.91e-01  0.00000e+00  2.00000e+00
   2700000  2.112720e+02  5.417165e-05  4.190923e+00  3.083576e-01  2.112860e+01  6.90e-02  9.43e-05  8.91e-01  0.00000e+00  2.00000e+00
   2800000  2.165743e+02  5.302312e-05  4.306639e+00  3.087179e-01  2.081849e+01  6.95e-02  9.43e-05  8.91e-01  0.00000e+00  2.00000e+00
   2900000  2.217639e+02  5.189529e-05  4.425982e+00  3.090787e-01  2.051192e+01  7.00e-02  9.36e-05  8.91e-01  0.00000e+00  2.00000e+00
