      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
         0  0.000000e+00  0.000000e+00  1.480969e+02  2.493003e+00  3.066874e-01  1.971401e+01  1.091955e+01  7.003234e-02  1.342112e-02
         1  1.000000e-07  1.916417e-08  1.920374e+02  3.232678e+00  3.070487e-01  1.973723e+01  9.154153e+00  4.952736e-02  9.491508e-03
         2  3.155897e-06  6.048014e-07  1.815436e+02  3.056030e+00  3.070462e-01  1.973708e+01  9.592657e+00  5.337874e-02  1.022959e-02
       127  4.703693e-04  9.014237e-05  1.797258e+02  3.025431e+00  3.070462e-01  1.973707e+01  9.616168e+00  5.377949e-02  1.030639e-02
       251  9.397134e-04  1.800883e-04  1.779232e+02  2.995086e+00  3.070461e-01  1.973707e+01  9.640341e+00  5.418711e-02  1.038451e-02
       375  1.413330e-03  2.708531e-04  1.761337e+02  2.964962e+00  3.070461e-01  1.973707e+01  9.664801e+00  5.459987e-02  1.046361e-02
       499  1.890558e-03  3.623099e-04  1.743604e+02  2.935112e+00  3.070461e-01  1.973707e+01  9.689403e+00  5.501650e-02  1.054346e-02
       623  2.371030e-03  4.543883e-04  1.726046e+02  2.905555e+00  3.070460e-01  1.973706e+01  9.714086e+00  5.543647e-02  1.062394e-02
       747  2.854510e-03  5.470432e-04  1.708669e+02  2.876303e+00  3.070460e-01  1.973706e+01  9.738813e+00  5.585949e-02  1.070501e-02
       871  3.340837e-03  6.402437e-04  1.691475e+02  2.847359e+00  3.070459e-01  1.973706e+01  9.763563e+00  5.628536e-02  1.078662e-02
       995  3.829893e-03  7.339672e-04  1.674465e+02  2.818726e+00  3.070459e-01  1.973706e+01  9.788321e+00  5.671396e-02  1.086876e-02
      1119  4.321591e-03  8.281971e-04  1.657640e+02  2.790403e+00  3.070458e-01  1.973705e+01  9.813075e+00  5.714522e-02  1.095141e-02
      1243  4.815865e-03  9.229206e-04  1.640998e+02  2.762390e+00  3.070458e-01  1.973705e+01  9.837818e+00  5.757906e-02  1.103455e-02
      1367  5.312665e-03  1.018128e-03  1.624540e+02  2.734684e+00  3.070458e-01  1.973705e+01  9.862543e+00  5.801544e-02  1.111818e-02
      1491  5.811952e-03  1.113812e-03  1.608263e+02  2.707284e+00  3.070457e-01  1.973705e+01  9.887245e+00  5.845432e-02  1.120229e-02
      1615  6.313696e-03  1.209967e-03  1.592166e+02  2.680188e+00  3.070457e-01  1.973704e+01  9.911921e+00  5.889568e-02  1.128687e-02
      1740  6.821951e-03  1.307370e-03  1.576121e+02  2.653177e+00  3.070456e-01  1.973704e+01  9.936765e+00  5.934309e-02  1.137261e-02
      1865  7.332665e-03  1.405244e-03  1.560255e+02  2.626469e+00  3.070456e-01  1.973704e+01  9.961576e+00  5.979297e-02  1.145883e-02
      1990  7.845825e-03  1.503587e-03  1.544566e+02  2.600060e+00  3.070456e-01  1.973703e+01  9.986351e+00  6.024533e-02  1.154552e-02
      2115  8.361426e-03  1.602398e-03  1.529054e+02  2.573946e+00  3.070455e-01  1.973703e+01  1.001109e+01  6.070016e-02  1.163268e-02
      2240  8.879463e-03  1.701675e-03  1.513715e+02  2.548126e+00  3.070455e-01  1.973703e+01  1.003579e+01  6.115744e-02  1.172032e-02
      2365  9.399936e-03  1.801420e-03  1.498549e+02  2.522595e+00  3.070454e-01  1.973703e+01  1.006045e+01  6.161717e-02  1.180842e-02
      2490  9.922848e-03  1.901632e-03  1.483552e+02  2.497350e+00  3.070454e-01  1.973702e+01  1.008507e+01  6.207936e-02  1.189699e-02
      2616  1.045242e-02  2.003119e-03  1.468605e+02  2.472190e+00  3.070453e-01  1.973702e+01  1.010984e+01  6.254773e-02  1.198675e-02
      2742  1.098448e-02  2.105084e-03  1.453827e+02  2.447313e+00  3.070453e-01  1.973702e+01  1.013457e+01  6.301859e-02  1.207699e-02
      2868  1.151903e-02  2.207527e-03  1.439215e+02  2.422716e+00  3.070453e-01  1.973702e+01  1.015925e+01  6.349195e-02  1.216771e-02
      2994  1.205610e-02  2.310452e-03  1.424768e+02  2.398396e+00  3.070452e-01  1.973701e+01  1.018389e+01  6.396781e-02  1.225890e-02
      3120  1.259570e-02  2.413861e-03  1.410483e+02  2.374350e+00  3.070452e-01  1.973701e+01  1.020849e+01  6.444619e-02  1.235058e-02
      3246  1.313783e-02  2.517756e-03  1.396359e+02  2.350573e+00  3.070451e-01  1.973701e+01  1.023304e+01  6.492707e-02  1.244274e-02
      3372  1.368251e-02  2.622140e-03  1.382393e+02  2.327063e+00  3.070451e-01  1.973700e+01  1.025754e+01  6.541048e-02  1.253538e-02
      3499  1.423412e-02  2.727851e-03  1.368474e+02  2.303633e+00  3.070450e-01  1.973700e+01  1.028219e+01  6.590028e-02  1.262924e-02
      3626  1.478835e-02  2.834066e-03  1.354712e+02  2.280467e+00  3.070450e-01  1.973700e+01  1.030680e+01  6.639266e-02  1.272360e-02
      3753  1.534524e-02  2.940788e-03  1.341105e+02  2.257562e+00  3.070449e-01  1.973700e+01  1.033136e+01  6.688762e-02  1.281846e-02
      3880  1.590480e-02  3.048022e-03  1.327651e+02  2.234913e+00  3.070449e-01  1.973699e+01  1.035587e+01  6.738518e-02  1.291381e-02
      4007  1.646704e-02  3.155773e-03  1.314348e+02  2.212519e+00  3.070449e-01  1.973699e+01  1.038033e+01  6.788535e-02  1.300966e-02
      4134  1.703201e-02  3.264043e-03  1.301193e+02  2.190375e+00  3.070448e-01  1.973699e+01  1.040475e+01  6.838813e-02  1.310602e-02
      4262  1.760419e-02  3.373697e-03  1.288084e+02  2.168308e+00  3.070448e-01  1.973698e+01  1.042932e+01  6.889753e-02  1.320364e-02
      4390  1.817918e-02  3.483889e-03  1.275122e+02  2.146489e+00  3.070447e-01  1.973698e+01  1.045384e+01  6.940961e-02  1.330178e-02
      4518  1.875700e-02  3.594624e-03  1.262306e+02  2.124914e+00  3.070447e-01  1.973698e+01  1.047831e+01  6.992439e-02  1.340043e-02
      4646  1.933768e-02  3.705907e-03  1.249633e+02  2.103581e+00  3.070446e-01  1.973698e+01  1.050273e+01  7.044188e-02  1.349960e-02
      4774  1.992125e-02  3.817743e-03  1.237102e+02  2.082487e+00  3.070446e-01  1.973697e+01  1.052711e+01  7.096208e-02  1.359929e-02
      4902  2.050774e-02  3.930139e-03  1.224711e+02  2.061629e+00  3.070445e-01  1.973697e+01  1.055145e+01  7.148502e-02  1.369951e-02
      5030  2.109718e-02  4.043099e-03  1.212458e+02  2.041003e+00  3.070445e-01  1.973697e+01  1.057574e+01  7.201070e-02  1.380025e-02
      5159  2.169423e-02  4.157519e-03  1.200247e+02  2.020447e+00  3.070444e-01  1.973696e+01  1.060017e+01  7.254328e-02  1.390232e-02
      5288  2.229433e-02  4.272524e-03  1.188173e+02  2.000122e+00  3.070444e-01  1.973696e+01  1.062456e+01  7.307869e-02  1.400493e-02
      5417  2.289753e-02  4.388122e-03  1.176234e+02  1.980024e+00  3.070444e-01  1.973696e+01  1.064890e+01  7.361693e-02  1.410807e-02
      5546  2.350385e-02  4.504318e-03  1.164428e+02  1.960150e+00  3.070443e-01  1.973695e+01  1.067320e+01  7.415802e-02  1.421177e-02
      5675  2.411332e-02  4.621118e-03  1.152753e+02  1.940497e+00  3.070443e-01  1.973695e+01  1.069745e+01  7.470198e-02  1.431601e-02
      5804  2.472599e-02  4.738531e-03  1.141207e+02  1.921062e+00  3.070442e-01  1.973695e+01  1.072166e+01  7.524882e-02  1.442081e-02
