 index          time      time_Gyr        step
     0  0.000000e+00  0.000000e+00           0
     1  4.489972e-03  6.997475e-04         524
     2  4.503896e-02  7.019175e-03        6106
     3  1.515250e+00  2.361467e-01      153323
     4  2.492699e+00  3.884789e-01      241547
     5  3.662747e+00  5.708271e-01      348615
     6  5.048693e+00  7.868222e-01      478327
     7  6.662131e+00  1.038271e+00      633895
     8  8.505737e+00  1.325591e+00      818147
     9  1.057389e+01  1.647907e+00     1033503
    10  1.285412e+01  2.003273e+00     1282011
    11  1.532808e+01  2.388831e+00     1565275
    12  1.797339e+01  2.801094e+00     1884523
    13  2.076474e+01  3.236117e+00     2240579
    14  2.367543e+01  3.689739e+00     2633931
    15  2.667825e+01  4.157718e+00     3064731
    16  2.974642e+01  4.635881e+00     3532831
    17  3.285431e+01  5.120237e+00     4037831
    18  3.597784e+01  5.607029e+00     4579075
    19  3.909498e+01  6.092825e+00     5155719
    20  4.218572e+01  6.574507e+00     5766711
    21  4.523240e+01  7.049321e+00     6410855
    22  4.821960e+01  7.514867e+00     7086807
    23  5.113418e+01  7.969094e+00     7793107
    24  5.396510e+01  8.410283e+00     8528183
    25  5.670339e+01  8.837037e+00     9290383
    26  5.934195e+01  9.248249e+00    10077967
    27  6.187544e+01  9.643085e+00    10889143
    28  6.430005e+01  1.002095e+01    11722075
    29  6.661336e+01  1.038147e+01    12574891
    30  6.881421e+01  1.072447e+01    13445695
    31  7.090252e+01  1.104992e+01    14332567
    32  7.287909e+01  1.135797e+01    15233571
    33  7.474558e+01  1.164885e+01    16146771
    34  7.650425e+01  1.192294e+01    17070223
    35  7.815793e+01  1.218066e+01    18001987
    36  7.970990e+01  1.242253e+01    18940135
    37  8.116376e+01  1.264911e+01    19882739
    38  8.252337e+01  1.286100e+01    20827895
    39  8.379279e+01  1.305883e+01    21773711
    40  8.497618e+01  1.324326e+01    22718315
    41  8.607779e+01  1.341494e+01    23659855
    42  8.710186e+01  1.357454e+01    24596511
    43  8.805263e+01  1.372271e+01    25526483
    44  8.893427e+01  1.386011e+01    26448003
    45  8.975085e+01  1.398738e+01    27359343
    46  9.050635e+01  1.410512e+01    28258803
    47  9.120463e+01  1.421394e+01    29144735
    48  9.184939e+01  1.431443e+01    30015527
    49  9.244418e+01  1.440712e+01    30869627
    50  9.299242e+01  1.449256e+01    31705539
    51  9.349732e+01  1.457125e+01    32521835
    52  9.396197e+01  1.464366e+01    33317155
    53  9.438926e+01  1.471026e+01    34090227
    54  9.478195e+01  1.477146e+01    34839867
    55  9.514262e+01  1.482767e+01    35564995
    56  9.547368e+01  1.487926e+01    36264635
    57  9.577742e+01  1.492660e+01    36937927
    58  9.605595e+01  1.497001e+01    37584123
    59  9.631127e+01  1.500980e+01    38202655
    60  9.654521e+01  1.504625e+01    38793087
    61  9.675949e+01  1.507965e+01    39355135
    62  9.695572e+01  1.511023e+01    39888667
    63  9.713538e+01  1.513823e+01    40393711
    64  9.729982e+01  1.516386e+01    40870447
    65  9.745033e+01  1.518731e+01    41319215
    66  9.758807e+01  1.520878e+01    41740487
    67  9.771412e+01  1.522842e+01    42134887
    68  9.782948e+01  1.524640e+01    42503151
    69  9.793506e+01  1.526286e+01    42846131
    70  9.803171e+01  1.527792e+01    43164791
    71  9.812020e+01  1.529171e+01    43460155
    72  9.820124e+01  1.530434e+01    43733323
    73  9.827548e+01  1.531591e+01    43985435
    74  9.834352e+01  1.532652e+01    44217671
    75  9.840591e+01  1.533624e+01    44431215
    76  9.844956e+01  1.534304e+01    44580731
