      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
         0  0.000000e+00           N/A  1.005368e+02  3.070636e-01  1.092158e+01       N/A       N/A       N/A          N/A          N/A
    100000  1.030302e+01  1.030302e-04  3.309917e+00  3.036996e-01  2.560105e+01  1.55e-01  2.78e-04  8.16e-01  0.00000e+00  1.99998e+00
    200000  2.766748e+01  1.736446e-04  2.617338e+00  2.999694e-01  2.794031e+01  1.45e-01  2.81e-04  7.84e-01  0.00000e+00  2.00000e+00
    300000  4.085936e+01  1.319189e-04  2.498088e+00  2.990598e-01  2.837480e+01  9.96e-02  2.80e-04  8.89e-01  0.00000e+00  2.00000e+00
    400000  5.403700e+01  1.317764e-04  2.468076e+00  2.991384e-01  2.840743e+01  9.74e-02  2.79e-04  8.91e-01  0.00000e+00  2.00000e+00
    500000  6.731195e+01  1.327495e-04  2.482661e+00  2.999504e-01  2.822123e+01  9.83e-02  2.88e-04  8.74e-01  0.00000e+00  1.99999e+00
    600000  8.011725e+01  1.280530e-04  2.523358e+00  3.008124e-01  2.791240e+01  9.62e-02  2.80e-04  8.92e-01  0.00000e+00  2.00000e+00
    700000  9.265579e+01  1.253853e-04  2.581752e+00  3.015592e-01  2.752647e+01  9.63e-02  2.80e-04  8.92e-01  0.00000e+00  2.00000e+00
    800000  1.049002e+02  1.224442e-04  2.653374e+00  3.022364e-01  2.709156e+01  9.67e-02  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
    900000  1.168344e+02  1.193419e-04  2.735644e+00  3.028684e-01  2.662541e+01  9.73e-02  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   1000000  1.284498e+02  1.161540e-04  2.827003e+00  3.034704e-01  2.613970e+01  9.79e-02  2.80e-04  8.91e-01  0.00000e+00  2.00000e+00
   1100000  1.397430e+02  1.129320e-04  2.926493e+00  3.040519e-01  2.564240e+01  9.87e-02  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   1200000  1.507137e+02  1.097075e-04  3.033521e+00  3.046195e-01  2.513906e+01  9.95e-02  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   1300000  1.613644e+02  1.065067e-04  3.147737e+00  3.051775e-01  2.463363e+01  1.00e-01  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   1400000  1.716990e+02  1.033462e-04  3.268958e+00  3.057289e-01  2.412898e+01  1.01e-01  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
   1500000  1.817226e+02  1.002355e-04  3.397118e+00  3.062759e-01  2.362719e+01  1.02e-01  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
   1600000  1.914411e+02  9.718496e-05  3.532238e+00  3.068202e-01  2.312976e+01  1.03e-01  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
   1700000  2.008611e+02  9.419975e-05  3.674412e+00  3.073630e-01  2.263782e+01  1.04e-01  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
   1800000  2.099893e+02  9.128193e-05  3.823783e+00  3.079051e-01  2.215219e+01  1.05e-01  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   1900000  2.188330e+02  8.843777e-05  3.980549e+00  3.084474e-01  2.167343e+01  1.06e-01  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
   2000000  2.273994e+02  8.566362e-05  4.144940e+00  3.089903e-01  2.120197e+01  1.07e-01  2.82e-04  8.91e-01  0.00000e+00  2.00000e+00
   2100000  2.356956e+02  8.296188e-05  4.317224e+00  3.095344e-01  2.073810e+01  1.09e-01  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   2200000  2.437291e+02  8.033562e-05  4.497712e+00  3.100800e-01  2.028199e+01  1.10e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   2300000  2.515070e+02  7.777865e-05  4.686734e+00  3.106275e-01  1.983376e+01  1.11e-01  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   2400000  2.590365e+02  7.529467e-05  4.884663e+00  3.111771e-01  1.939346e+01  1.12e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   2500000  2.663244e+02  7.287879e-05  5.091893e+00  3.117290e-01  1.896109e+01  1.13e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   2600000  2.733775e+02  7.053145e-05  5.308854e+00  3.122834e-01  1.853663e+01  1.14e-01  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
   2700000  2.802029e+02  6.825441e-05  5.536020e+00  3.128406e-01  1.812000e+01  1.16e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   2800000  2.868069e+02  6.603990e-05  5.773876e+00  3.134006e-01  1.771114e+01  1.17e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   2900000  2.931959e+02  6.388968e-05  6.022956e+00  3.139637e-01  1.730995e+01  1.18e-01  2.80e-04  8.91e-01  0.00000e+00  2.00000e+00
   3000000  2.993763e+02  6.180428e-05  6.283836e+00  3.145300e-01  1.691631e+01  1.19e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   3100000  3.053542e+02  5.977867e-05  6.557121e+00  3.150997e-01  1.653010e+01  1.21e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   3200000  3.111354e+02  5.781160e-05  6.843455e+00  3.156728e-01  1.615122e+01  1.22e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   3300000  3.167256e+02  5.590232e-05  7.143530e+00  3.162495e-01  1.577952e+01  1.23e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   3400000  3.221307e+02  5.405112e-05  7.458096e+00  3.168300e-01  1.541487e+01  1.25e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   3500000  3.273559e+02  5.225214e-05  7.787929e+00  3.174144e-01  1.505714e+01  1.26e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   3600000  3.324065e+02  5.050622e-05  8.133867e+00  3.180027e-01  1.470621e+01  1.28e-01  2.81e-04  8.91e-01  0.00000e+00  2.00000e+00
