     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.935162e+00  -2.236192e+00  4.934075e-05  6.424093e+01  1.209284e-01  7.768555e+00  4.476349e-02  4.785309e+00
     1  -1.914198e+00  -1.924554e+00  5.446776e-05  6.307036e+01  1.209222e-01  7.626604e+00  4.559548e-02  4.829638e+00
     2  -1.894086e+00  -1.904026e+00  6.012546e-05  6.295831e+01  1.209259e-01  7.613291e+00  4.567592e-02  4.833859e+00
     3  -1.874690e+00  -1.884280e+00  6.636847e-05  6.285057e+01  1.209188e-01  7.599817e+00  4.575555e-02  4.838142e+00
     4  -1.855898e+00  -1.865192e+00  7.325696e-05  6.273372e+01  1.209253e-01  7.586092e+00  4.583956e-02  4.842516e+00
     5  -1.837622e+00  -1.846664e+00  8.085723e-05  6.262075e+01  1.209189e-01  7.572034e+00  4.592346e-02  4.847010e+00
     6  -1.819787e+00  -1.828613e+00  8.924233e-05  6.249926e+01  1.209225e-01  7.557568e+00  4.601205e-02  4.851646e+00
     7  -1.802336e+00  -1.810974e+00  9.849269e-05  6.237723e+01  1.209195e-01  7.542622e+00  4.610264e-02  4.856451e+00
     8  -1.785215e+00  -1.793691e+00  1.086969e-04  6.224870e+01  1.209202e-01  7.527127e+00  4.619769e-02  4.861447e+00
     9  -1.768384e+00  -1.776718e+00  1.199527e-04  6.211610e+01  1.209190e-01  7.511017e+00  4.629654e-02  4.866658e+00
    10  -1.751806e+00  -1.760016e+00  1.323673e-04  6.197739e+01  1.209187e-01  7.494223e+00  4.640022e-02  4.872107e+00
    11  -1.735450e+00  -1.743551e+00  1.460590e-04  6.183269e+01  1.209179e-01  7.476679e+00  4.650895e-02  4.877820e+00
    12  -1.719289e+00  -1.727295e+00  1.611581e-04  6.168115e+01  1.209173e-01  7.458315e+00  4.662334e-02  4.883822e+00
    13  -1.703300e+00  -1.711221e+00  1.778078e-04  6.152229e+01  1.209165e-01  7.439061e+00  4.674387e-02  4.890138e+00
    14  -1.687463e+00  -1.695310e+00  1.961656e-04  6.135549e+01  1.209158e-01  7.418846e+00  4.687110e-02  4.896796e+00
    15  -1.671760e+00  -1.679540e+00  2.164050e-04  6.118014e+01  1.209150e-01  7.397593e+00  4.700559e-02  4.903825e+00
    16  -1.656175e+00  -1.663897e+00  2.387165e-04  6.099559e+01  1.209141e-01  7.375228e+00  4.714798e-02  4.911254e+00
    17  -1.640694e+00  -1.648365e+00  2.633099e-04  6.080120e+01  1.209132e-01  7.351668e+00  4.729889e-02  4.919118e+00
