      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
         0  0.000000e+00           N/A  1.565494e+02  3.070067e-01  3.279760e-02       N/A       N/A       N/A          N/A          N/A
    100000  3.645376e+00  3.645376e-05  1.448547e+02  3.070490e-01  3.336831e-02  5.45e-01  1.47e-02  9.50e-01  0.00000e+00  1.00000e+00
    200000  7.330719e+00  3.685343e-05  1.340741e+02  3.070903e-01  3.393870e-02  5.21e-01  1.32e-02  9.50e-01  0.00000e+00  1.00000e+00
    300000  1.104742e+01  3.716698e-05  1.241495e+02  3.071318e-01  3.450637e-02  4.97e-01  1.27e-02  9.50e-01  0.00000e+00  1.00000e+00
    400000  1.479700e+01  3.749582e-05  1.150096e+02  3.071734e-01  3.507083e-02  4.75e-01  1.24e-02  9.50e-01  0.00000e+00  1.00000e+00
    500000  1.858314e+01  3.786139e-05  1.065875e+02  3.072153e-01  3.563200e-02  4.54e-01  1.21e-02  9.50e-01  0.00000e+00  1.00000e+00
    600000  2.241085e+01  3.827709e-05  9.882200e+01  3.072573e-01  3.619000e-02  4.35e-01  1.19e-02  9.50e-01  0.00000e+00  1.00000e+00
    700000  2.628618e+01  3.875333e-05  9.165699e+01  3.072997e-01  3.674511e-02  4.18e-01  1.17e-02  9.50e-01  0.00000e+00  1.00000e+00
    800000  3.021611e+01  3.929934e-05  8.504157e+01  3.073425e-01  3.729774e-02  4.02e-01  1.15e-02  9.50e-01  0.00000e+00  1.00000e+00
    900000  3.420851e+01  3.992400e-05  7.892941e+01  3.073857e-01  3.784838e-02  3.88e-01  1.14e-02  9.50e-01  0.00000e+00  1.00000e+00
   1000000  3.827215e+01  4.063640e-05  7.327842e+01  3.074294e-01  3.839758e-02  3.75e-01  1.12e-02  9.50e-01  0.00000e+00  1.00000e+00
   1100000  4.241677e+01  4.144620e-05  6.805040e+01  3.074737e-01  3.894599e-02  3.63e-01  1.11e-02  9.50e-01  0.00000e+00  1.00000e+00
   1200000  4.665317e+01  4.236392e-05  6.321059e+01  3.075188e-01  3.949431e-02  3.53e-01  1.10e-02  9.50e-01  0.00000e+00  1.00000e+00
   1300000  5.099329e+01  4.340123e-05  5.872742e+01  3.075654e-01  4.004328e-02  3.43e-01  1.09e-02  9.50e-01  0.00000e+00  1.00000e+00
   1400000  5.545042e+01  4.457127e-05  5.457212e+01  3.076130e-01  4.059374e-02  3.35e-01  1.09e-02  9.50e-01  0.00000e+00  1.00000e+00
   1500000  6.003930e+01  4.588888e-05  5.071854e+01  3.076618e-01  4.114656e-02  3.28e-01  1.08e-02  9.50e-01  0.00000e+00  1.00000e+00
   1600000  6.477640e+01  4.737100e-05  4.714281e+01  3.077118e-01  4.170268e-02  3.22e-01  1.08e-02  9.50e-01  0.00000e+00  1.00000e+00
   1700000  6.968010e+01  4.903695e-05  4.382316e+01  3.077633e-01  4.226311e-02  3.17e-01  1.07e-02  9.50e-01  0.00000e+00  1.00000e+00
   1800000  7.477099e+01  5.090889e-05  4.073972e+01  3.078164e-01  4.282893e-02  3.14e-01  1.07e-02  9.50e-01  0.00000e+00  1.00000e+00
   1900000  8.007221e+01  5.301219e-05  3.787433e+01  3.078713e-01  4.340127e-02  3.11e-01  1.07e-02  9.50e-01  0.00000e+00  1.00000e+00
   2000000  8.560980e+01  5.537596e-05  3.521038e+01  3.079283e-01  4.398136e-02  3.09e-01  1.07e-02  9.50e-01  0.00000e+00  1.00000e+00
   2100000  9.141316e+01  5.803353e-05  3.273269e+01  3.079876e-01  4.457048e-02  3.08e-01  1.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   2200000  9.751546e+01  6.102306e-05  3.042733e+01  3.080494e-01  4.516997e-02  3.08e-01  1.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   2300000  1.039543e+02  6.438808e-05  2.828157e+01  3.081142e-01  4.578127e-02  3.09e-01  1.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   2400000  1.107721e+02  6.817819e-05  2.628373e+01  3.081822e-01  4.640583e-02  3.11e-01  1.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   2500000  1.180171e+02  7.244973e-05  2.442311e+01  3.082538e-01  4.704519e-02  3.15e-01  1.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   2600000  1.257437e+02  7.726645e-05  2.268992e+01  3.083295e-01  4.770087e-02  3.19e-01  1.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   2700000  1.340137e+02  8.270041e-05  2.107516e+01  3.084098e-01  4.837441e-02  3.24e-01  1.05e-02  9.50e-01  0.00000e+00  1.00000e+00
   2800000  1.428970e+02  8.883293e-05  1.957062e+01  3.084951e-01  4.906729e-02  3.31e-01  1.04e-02  9.50e-01  0.00000e+00  1.00000e+00
   2900000  1.524726e+02  9.575587e-05  1.816874e+01  3.085861e-01  4.978091e-02  3.39e-01  1.03e-02  9.50e-01  0.00000e+00  1.00000e+00
   3000000  1.628300e+02  1.035735e-04  1.686263e+01  3.086839e-01  5.051652e-02  3.48e-01  1.01e-02  9.50e-01  0.00000e+00  1.00000e+00
   3100000  1.740705e+02  1.124049e-04  1.564595e+01  3.087900e-01  5.127519e-02  3.59e-01  9.84e-03  9.50e-01  0.00000e+00  1.00000e+00
   3200000  1.863093e+02  1.223882e-04  1.451290e+01  3.089040e-01  5.205770e-02  3.71e-01  9.51e-03  9.50e-01  0.00000e+00  1.00000e+00
   3300000  1.996778e+02  1.336855e-04  1.345812e+01  3.090269e-01  5.286449e-02  3.84e-01  9.09e-03  9.50e-01  0.00000e+00  1.00000e+00
   3400000  2.143269e+02  1.464907e-04  1.247672e+01  3.091597e-01  5.369558e-02  3.99e-01  8.57e-03  9.50e-01  0.00000e+00  1.00000e+00
   3500000  2.304309e+02  1.610400e-04  1.156414e+01  3.093035e-01  5.455049e-02  4.16e-01  7.91e-03  9.50e-01  0.00000e+00  1.00000e+00
   3600000  2.481935e+02  1.776259e-04  1.071621e+01  3.094597e-01  5.542808e-02  4.34e-01  7.12e-03  9.50e-01  0.00000e+00  1.00000e+00
   3700000  2.678552e+02  1.966171e-04  9.929045e+00  3.096299e-01  5.632645e-02  4.55e-01  7.38e-03  9.50e-01  0.00000e+00  1.00000e+00
   3800000  2.897038e+02  2.184854e-04  9.199054e+00  3.098159e-01  5.724273e-02  4.79e-01  8.58e-03  9.50e-01  0.00000e+00  1.00000e+00
   3900000  3.140883e+02  2.438450e-04  8.522927e+00  3.100214e-01  5.817281e-02  5.07e-01  1.00e-02  9.50e-01  0.00000e+00  1.00000e+00
   4000000  3.414395e+02  2.735122e-04  7.897625e+00  3.102499e-01  5.911096e-02  5.38e-01  1.17e-02  9.50e-01  0.00000e+00  1.00000e+00
