     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.924400e+00  -3.225430e+00  4.936543e-05  8.785053e+04  1.408984e+00  1.237799e+05  9.589648e-06  1.145825e-04
     1  -2.918184e+00  -2.921281e+00  5.153900e-05  8.816101e+04  1.404021e+00  1.237799e+05  9.572747e-06  1.145825e-04
     2  -2.911971e+00  -2.915066e+00  5.380601e-05  8.813171e+04  1.403877e+00  1.237261e+05  9.576421e-06  1.146074e-04
     3  -2.905750e+00  -2.908849e+00  5.617461e-05  8.810155e+04  1.403729e+00  1.236707e+05  9.580206e-06  1.146331e-04
     4  -2.899530e+00  -2.902629e+00  5.864622e-05  8.807050e+04  1.403576e+00  1.236136e+05  9.584105e-06  1.146595e-04
     5  -2.893316e+00  -2.896412e+00  6.122269e-05  8.803858e+04  1.403419e+00  1.235550e+05  9.588118e-06  1.146867e-04
     6  -2.887090e+00  -2.890192e+00  6.391625e-05  8.800571e+04  1.403257e+00  1.234946e+05  9.592252e-06  1.147147e-04
     7  -2.880863e+00  -2.883966e+00  6.672776e-05  8.797187e+04  1.403090e+00  1.234324e+05  9.596513e-06  1.147436e-04
     8  -2.874629e+00  -2.877735e+00  6.966511e-05  8.793702e+04  1.402918e+00  1.233684e+05  9.600903e-06  1.147734e-04
     9  -2.868404e+00  -2.871506e+00  7.272580e-05  8.790117e+04  1.402741e+00  1.233026e+05  9.605424e-06  1.148040e-04
    10  -2.862172e+00  -2.865277e+00  7.592335e-05  8.786430e+04  1.402560e+00  1.232349e+05  9.610077e-06  1.148356e-04
    11  -2.855943e+00  -2.859046e+00  7.925890e-05  8.782635e+04  1.402372e+00  1.231653e+05  9.614872e-06  1.148680e-04
    12  -2.849710e+00  -2.852815e+00  8.274157e-05  8.778730e+04  1.402180e+00  1.230936e+05  9.619809e-06  1.149015e-04
    13  -2.843480e+00  -2.846583e+00  8.637379e-05  8.774714e+04  1.401982e+00  1.230199e+05  9.624893e-06  1.149359e-04
    14  -2.837250e+00  -2.840354e+00  9.016405e-05  8.770583e+04  1.401778e+00  1.229441e+05  9.630127e-06  1.149713e-04
    15  -2.831009e+00  -2.834118e+00  9.412640e-05  8.766329e+04  1.401568e+00  1.228660e+05  9.635521e-06  1.150078e-04
    16  -2.824772e+00  -2.827879e+00  9.825814e-05  8.761951e+04  1.401351e+00  1.227857e+05  9.641079e-06  1.150454e-04
    17  -2.818527e+00  -2.821638e+00  1.025750e-04  8.757447e+04  1.401129e+00  1.227031e+05  9.646805e-06  1.150841e-04
    18  -2.812291e+00  -2.815398e+00  1.070736e-04  8.752813e+04  1.400900e+00  1.226181e+05  9.652700e-06  1.151240e-04
    19  -2.806050e+00  -2.809160e+00  1.117716e-04  8.748048e+04  1.400664e+00  1.225308e+05  9.658770e-06  1.151650e-04
    20  -2.799809e+00  -2.802918e+00  1.166741e-04  8.743145e+04  1.400422e+00  1.224409e+05  9.665023e-06  1.152073e-04
    21  -2.793566e+00  -2.796676e+00  1.217905e-04  8.738101e+04  1.400172e+00  1.223485e+05  9.671464e-06  1.152508e-04
    22  -2.787322e+00  -2.790433e+00  1.271309e-04  8.732912e+04  1.399915e+00  1.222534e+05  9.678098e-06  1.152956e-04
    23  -2.781080e+00  -2.784190e+00  1.327005e-04  8.727576e+04  1.399651e+00  1.221556e+05  9.684930e-06  1.153418e-04
    24  -2.774835e+00  -2.777946e+00  1.385159e-04  8.722087e+04  1.399379e+00  1.220551e+05  9.691967e-06  1.153893e-04
    25  -2.768588e+00  -2.771700e+00  1.445845e-04  8.716439e+04  1.399099e+00  1.219516e+05  9.699217e-06  1.154382e-04
    26  -2.762343e+00  -2.765454e+00  1.509149e-04  8.710631e+04  1.398811e+00  1.218453e+05  9.706683e-06  1.154885e-04
    27  -2.756090e+00  -2.759205e+00  1.575290e-04  8.704654e+04  1.398515e+00  1.217359e+05  9.714377e-06  1.155404e-04
    28  -2.749842e+00  -2.752955e+00  1.644237e-04  8.698506e+04  1.398210e+00  1.216234e+05  9.722303e-06  1.155939e-04
    29  -2.743594e+00  -2.746707e+00  1.716176e-04  8.692187e+04  1.397896e+00  1.215078e+05  9.730462e-06  1.156488e-04
    30  -2.737345e+00  -2.740458e+00  1.791246e-04  8.685688e+04  1.397574e+00  1.213889e+05  9.738868e-06  1.157055e-04
    31  -2.731092e+00  -2.734207e+00  1.869613e-04  8.679002e+04  1.397241e+00  1.212666e+05  9.747528e-06  1.157638e-04
    32  -2.724838e+00  -2.727954e+00  1.951388e-04  8.672124e+04  1.396900e+00  1.211409e+05  9.756452e-06  1.158238e-04
    33  -2.718587e+00  -2.721702e+00  2.036668e-04  8.665053e+04  1.396548e+00  1.210116e+05  9.765642e-06  1.158857e-04
    34  -2.712333e+00  -2.715449e+00  2.125676e-04  8.657783e+04  1.396186e+00  1.208788e+05  9.775109e-06  1.159493e-04
    35  -2.706078e+00  -2.709194e+00  2.218557e-04  8.650305e+04  1.395814e+00  1.207422e+05  9.784864e-06  1.160149e-04
    36  -2.699824e+00  -2.702939e+00  2.315430e-04  8.642616e+04  1.395431e+00  1.206018e+05  9.794913e-06  1.160824e-04
    37  -2.693568e+00  -2.696684e+00  2.416522e-04  8.634710e+04  1.395037e+00  1.204574e+05  9.805265e-06  1.161519e-04
    38  -2.687310e+00  -2.690428e+00  2.522004e-04  8.626581e+04  1.394632e+00  1.203090e+05  9.815931e-06  1.162235e-04
    39  -2.681050e+00  -2.684169e+00  2.632088e-04  8.618220e+04  1.394215e+00  1.201565e+05  9.826924e-06  1.162973e-04
    40  -2.674792e+00  -2.677910e+00  2.746873e-04  8.609624e+04  1.393786e+00  1.199997e+05  9.838248e-06  1.163732e-04
    41  -2.668532e+00  -2.671651e+00  2.866651e-04  8.600789e+04  1.393345e+00  1.198386e+05  9.849914e-06  1.164514e-04
    42  -2.662273e+00  -2.665391e+00  2.991578e-04  8.591705e+04  1.392891e+00  1.196731e+05  9.861935e-06  1.165320e-04
    43  -2.656012e+00  -2.659131e+00  3.121906e-04  8.582367e+04  1.392424e+00  1.195029e+05  9.874320e-06  1.166149e-04
    44  -2.649749e+00  -2.652869e+00  3.257907e-04  8.572766e+04  1.391943e+00  1.193280e+05  9.887085e-06  1.167003e-04
    45  -2.643486e+00  -2.646606e+00  3.399746e-04  8.562896e+04  1.391449e+00  1.191483e+05  9.900239e-06  1.167883e-04
    46  -2.637221e+00  -2.640342e+00  3.547724e-04  8.552750e+04  1.390941e+00  1.189637e+05  9.913794e-06  1.168789e-04
    47  -2.630956e+00  -2.634077e+00  3.702053e-04  8.542322e+04  1.390418e+00  1.187740e+05  9.927763e-06  1.169722e-04
