 index          time      time_Gyr        step
     0  0.000000e+00  0.000000e+00           0
     1  4.960340e+00  1.698049e-03      135780
     2  1.001937e+01  3.429882e-03      272425
     3  1.517898e+01  5.196149e-03      410135
     4  2.044926e+01  7.000298e-03      548898
     5  2.584427e+01  8.847144e-03      688664
     6  3.138159e+01  1.074271e-02      829364
     7  3.708226e+01  1.269419e-02      970913
     8  4.297119e+01  1.471012e-02     1113217
     9  4.907760e+01  1.680050e-02     1256174
    10  5.543568e+01  1.897703e-02     1399674
    11  6.208552e+01  2.125344e-02     1543602
    12  6.907410e+01  2.364580e-02     1687837
    13  7.645667e+01  2.617305e-02     1832254
    14  8.429833e+01  2.885744e-02     1976725
    15  9.267581e+01  3.172526e-02     2121119
    16  1.016797e+02  3.480751e-02     2265305
    17  1.114168e+02  3.814079e-02     2409155
    18  1.220135e+02  4.176831e-02     2552549
    19  1.336185e+02  4.574097e-02     2695377
    20  1.464067e+02  5.011872e-02     2837548
    21  1.605850e+02  5.497231e-02     2978998
    22  1.763978e+02  6.038542e-02     3119693
    23  1.941370e+02  6.645799e-02     3259639
    24  2.141561e+02  7.331102e-02     3398886
    25  2.368911e+02  8.109379e-02     3537532
    26  2.628948e+02  8.999552e-02     3675733
    27  2.928893e+02  1.002634e-01     3813715
    28  3.278535e+02  1.122325e-01     3951796
    29  3.691780e+02  1.263789e-01     4090435
    30  4.189607e+02  1.434208e-01     4230323
    31  4.806468e+02  1.645375e-01     4372586
    32  5.606637e+02  1.919293e-01     4519299
    33  6.740425e+02  2.307417e-01     4675287
    34  8.838420e+02  3.025614e-01     4860876
    35  1.737938e+03  5.949401e-01     5190690
    36  1.978828e+03  6.774026e-01     5274829
    37  2.188195e+03  7.490742e-01     5348341
    38  2.379947e+03  8.147160e-01     5415244
    39  2.560107e+03  8.763892e-01     5477351
    40  2.731926e+03  9.352073e-01     5535681
    41  2.897401e+03  9.918534e-01     5590928
    42  3.057856e+03  1.046781e+00     5643586
    43  3.214234e+03  1.100313e+00     5694013
    44  3.367232e+03  1.152689e+00     5742478
    45  3.517387e+03  1.204090e+00     5789192
    46  3.665122e+03  1.254664e+00     5834410
    47  3.810782e+03  1.304527e+00     5880143
    48  3.954655e+03  1.353778e+00     5927302
    49  4.096987e+03  1.402502e+00     5976017
    50  4.237984e+03  1.450769e+00     6026417
    51  4.377829e+03  1.498641e+00     6078631
    52  4.516679e+03  1.546173e+00     6132789
    53  4.654680e+03  1.593414e+00     6189028
    54  4.791960e+03  1.640409e+00     6247490
    55  4.928633e+03  1.687195e+00     6308322
    56  5.064806e+03  1.733811e+00     6371679
    57  5.200578e+03  1.780289e+00     6437726
    58  5.336037e+03  1.826660e+00     6506636
    59  5.471267e+03  1.872953e+00     6578596
    60  5.606349e+03  1.919195e+00     6653806
    61  5.741352e+03  1.965410e+00     6732480
    62  5.876348e+03  2.011622e+00     6814853
    63  6.011401e+03  2.057854e+00     6901175
    64  6.146572e+03  2.104126e+00     6991682
    65  6.281919e+03  2.150459e+00     7086648
    66  6.417499e+03  2.196872e+00     7186379
    67  6.553365e+03  2.243382e+00     7291213
    68  6.689566e+03  2.290007e+00     7401528
    69  6.826151e+03  2.336763e+00     7517661
    70  6.963166e+03  2.383667e+00     7639960
    71  7.100657e+03  2.430734e+00     7768875
    72  7.238666e+03  2.477978e+00     7904918
    73  7.377234e+03  2.525413e+00     8048660
    74  7.516402e+03  2.573054e+00     8200470
    75  7.656207e+03  2.620913e+00     8360886
    76  7.796688e+03  2.669003e+00     8530611
    77  7.937880e+03  2.717336e+00     8710490
    78  8.079818e+03  2.765925e+00     8901048
    79  8.222535e+03  2.814781e+00     9102806
    80  8.366065e+03  2.863915e+00     9316740
    81  8.510440e+03  2.913338e+00     9544082
    82  8.655689e+03  2.963061e+00     9785560
    83  8.801845e+03  3.013093e+00    10041539
    84  8.948937e+03  3.063446e+00    10313395
    85  9.096992e+03  3.114129e+00    10602980
    86  9.246039e+03  3.165152e+00    10911061
    87  9.396107e+03  3.216524e+00    11237639
    88  9.547221e+03  3.268254e+00    11584713
    89  9.699408e+03  3.320352e+00    11955174
    90  9.852694e+03  3.372825e+00    12349151
    91  1.000710e+04  3.425684e+00    12766037
    92  1.016267e+04  3.478936e+00    13208886
    93  1.031940e+04  3.532591e+00    13682287
    94  1.047734e+04  3.586656e+00    14183897
    95  1.063649e+04  3.641140e+00    14712528
    96  1.079690e+04  3.696050e+00    15273264
    97  1.095857e+04  3.751396e+00    15872953
    98  1.112155e+04  3.807185e+00    16502872
    99  1.128583e+04  3.863425e+00    17162732
   100  1.145146e+04  3.920124e+00    17861912
   101  1.161845e+04  3.977290e+00    18607536
   102  1.178683e+04  4.034929e+00    19379374
   103  1.195661e+04  4.093050e+00    20183653
   104  1.212782e+04  4.151659e+00    21037748
   105  1.230048e+04  4.210764e+00    21936233
   106  1.247460e+04  4.270370e+00    22851984
   107  1.265021e+04  4.330485e+00    23807454
   108  1.282732e+04  4.391116e+00    24826440
   109  1.300596e+04  4.452267e+00    25863417
   110  1.318613e+04  4.513944e+00    26918113
   111  1.336785e+04  4.576153e+00    28031031
   112  1.355116e+04  4.638903e+00    29198778
   113  1.373604e+04  4.702193e+00    30355462
   114  1.392252e+04  4.766030e+00    31550151
   115  1.411063e+04  4.830426e+00    32826086
   116  1.430038e+04  4.895380e+00    34097802
   117  1.449175e+04  4.960891e+00    35368864
   118  1.468480e+04  5.026977e+00    36715939
   119  1.487954e+04  5.093642e+00    38115909
   120  1.507595e+04  5.160878e+00    39470324
   121  1.527406e+04  5.228697e+00    40872754
   122  1.547394e+04  5.297120e+00    42375458
   123  1.567554e+04  5.366131e+00    43834755
   124  1.587885e+04  5.435731e+00    45287688
   125  1.608398e+04  5.505951e+00    46846395
   126  1.629091e+04  5.576790e+00    48435672
   127  1.649958e+04  5.648223e+00    49952079
   128  1.671008e+04  5.720283e+00    51542648
   129  1.692249e+04  5.792993e+00    53242301
   130  1.713668e+04  5.866319e+00    54852748
   131  1.735269e+04  5.940263e+00    56468854
   132  1.757067e+04  6.014882e+00    58225098
   133  1.779055e+04  6.090153e+00    59966299
   134  1.801223e+04  6.166041e+00    61624595
   135  1.823588e+04  6.242602e+00    63394169
   136  1.846157e+04  6.319860e+00    65262967
   137  1.868911e+04  6.397754e+00    67002949
   138  1.891856e+04  6.476301e+00    68774518
   139  1.915014e+04  6.555574e+00    70714152
   140  1.938370e+04  6.635530e+00    72581834
   141  1.961913e+04  6.716124e+00    74372460
   142  1.985667e+04  6.797437e+00    76314570
   143  2.009636e+04  6.879489e+00    78329295
   144  2.033797e+04  6.962199e+00    80187359
   145  2.058158e+04  7.045594e+00    82110246
   146  2.082745e+04  7.129762e+00    84215062
   147  2.107540e+04  7.214641e+00    86197655
   148  2.132529e+04  7.300182e+00    88115555
   149  2.157740e+04  7.386486e+00    90222601
   150  2.183177e+04  7.473564e+00    92366786
   151  2.208813e+04  7.561323e+00    94336666
   152  2.234659e+04  7.649801e+00    96406274
   153  2.260742e+04  7.739090e+00    98660977
   154  2.287042e+04  7.829120e+00   100752815
   155  2.313543e+04  7.919839e+00   102793802
   156  2.340277e+04  8.011358e+00   105056940
   157  2.367247e+04  8.103682e+00   107321024
   158  2.394424e+04  8.196716e+00   109398616
   159  2.421821e+04  8.290502e+00   111608879
   160  2.449464e+04  8.385131e+00   114002639
   161  2.477332e+04  8.480532e+00   116201268
   162  2.505411e+04  8.576652e+00   118360501
   163  2.533732e+04  8.673605e+00   120770642
   164  2.548496e+04  8.724145e+00   121864013
