      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
         0  0.000000e+00  0.000000e+00  1.565494e+02  7.544956e+00  3.070067e-01  1.543510e+02  3.279760e-02  6.502392e-02  2.225933e-05
     13020  4.683360e-01  1.603232e-04  1.549838e+02  7.469504e+00  3.070131e-01  1.543542e+02  3.287122e-02  6.549820e-02  2.242169e-05
     25935  9.379401e-01  3.210805e-04  1.534339e+02  7.394805e+00  3.070185e-01  1.543570e+02  3.294497e-02  6.597588e-02  2.258521e-05
     38855  1.408608e+00  4.822021e-04  1.518995e+02  7.320855e+00  3.070239e-01  1.543597e+02  3.301880e-02  6.645686e-02  2.274986e-05
     51782  1.880288e+00  6.436700e-04  1.503804e+02  7.247642e+00  3.070292e-01  1.543623e+02  3.309270e-02  6.694116e-02  2.291565e-05
     64716  2.352909e+00  8.054600e-04  1.488766e+02  7.175163e+00  3.070345e-01  1.543650e+02  3.316664e-02  6.742874e-02  2.308256e-05
     77658  2.826461e+00  9.675690e-04  1.473878e+02  7.103408e+00  3.070398e-01  1.543677e+02  3.324063e-02  6.791962e-02  2.325060e-05
     90608  3.300913e+00  1.129986e-03  1.459138e+02  7.032372e+00  3.070452e-01  1.543704e+02  3.331464e-02  6.841379e-02  2.341977e-05
    103567  3.776278e+00  1.292715e-03  1.444546e+02  6.962044e+00  3.070505e-01  1.543731e+02  3.338869e-02  6.891130e-02  2.359008e-05
    116534  4.252501e+00  1.455738e-03  1.430101e+02  6.892423e+00  3.070559e-01  1.543757e+02  3.346276e-02  6.941211e-02  2.376152e-05
    129510  4.729607e+00  1.619064e-03  1.415800e+02  6.823498e+00  3.070612e-01  1.543784e+02  3.353686e-02  6.991627e-02  2.393410e-05
    142496  5.207623e+00  1.782701e-03  1.401640e+02  6.755258e+00  3.070666e-01  1.543811e+02  3.361097e-02  7.042381e-02  2.410785e-05
    155491  5.686506e+00  1.946634e-03  1.387623e+02  6.687702e+00  3.070719e-01  1.543838e+02  3.368511e-02  7.093472e-02  2.428274e-05
    168495  6.166251e+00  2.110863e-03  1.373747e+02  6.620823e+00  3.070773e-01  1.543865e+02  3.375925e-02  7.144901e-02  2.445880e-05
    181509  6.646893e+00  2.275399e-03  1.360008e+02  6.554610e+00  3.070827e-01  1.543892e+02  3.383341e-02  7.196672e-02  2.463602e-05
    194532  7.128393e+00  2.440229e-03  1.346408e+02  6.489061e+00  3.070881e-01  1.543919e+02  3.390757e-02  7.248784e-02  2.481441e-05
    207565  7.610790e+00  2.605365e-03  1.332943e+02  6.424166e+00  3.070935e-01  1.543947e+02  3.398175e-02  7.301241e-02  2.499399e-05
    220607  8.094047e+00  2.770796e-03  1.319613e+02  6.359924e+00  3.070989e-01  1.543974e+02  3.405592e-02  7.354042e-02  2.517474e-05
    233659  8.578205e+00  2.936536e-03  1.306416e+02  6.296321e+00  3.071043e-01  1.544001e+02  3.413011e-02  7.407192e-02  2.535669e-05
    246721  9.063268e+00  3.102585e-03  1.293351e+02  6.233354e+00  3.071097e-01  1.544028e+02  3.420430e-02  7.460694e-02  2.553983e-05
    259792  9.549202e+00  3.268933e-03  1.280417e+02  6.171020e+00  3.071151e-01  1.544055e+02  3.427849e-02  7.514544e-02  2.572418e-05
    272873  1.003605e+01  3.435593e-03  1.267613e+02  6.109307e+00  3.071205e-01  1.544083e+02  3.435268e-02  7.568748e-02  2.590973e-05
    285964  1.052382e+01  3.602569e-03  1.254936e+02  6.048211e+00  3.071260e-01  1.544110e+02  3.442688e-02  7.623310e-02  2.609651e-05
    299065  1.101252e+01  3.769862e-03  1.242386e+02  5.987725e+00  3.071314e-01  1.544137e+02  3.450108e-02  7.678230e-02  2.628452e-05
    312175  1.150211e+01  3.937463e-03  1.229962e+02  5.927847e+00  3.071369e-01  1.544165e+02  3.457527e-02  7.733507e-02  2.647374e-05
    325295  1.199265e+01  4.105386e-03  1.217662e+02  5.868566e+00  3.071423e-01  1.544192e+02  3.464946e-02  7.789147e-02  2.666421e-05
    338425  1.248414e+01  4.273635e-03  1.205485e+02  5.809878e+00  3.071478e-01  1.544220e+02  3.472365e-02  7.845152e-02  2.685593e-05
