     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -2.813572e+00  -3.114602e+00  4.936543e-05  4.085640e+04  1.201073e+00  2.233341e-05  1.123370e-04
     1  -2.802534e+00  -2.808018e+00  5.328937e-05  4.098971e+04  1.197167e+00  2.229707e-05  1.123370e-04
     2  -2.791493e+00  -2.796978e+00  5.752323e-05  4.096726e+04  1.196963e+00  2.231118e-05  1.123774e-04
     3  -2.780443e+00  -2.785933e+00  6.209370e-05  4.094364e+04  1.196749e+00  2.232606e-05  1.124199e-04
     4  -2.769392e+00  -2.774882e+00  6.702432e-05  4.091877e+04  1.196523e+00  2.234174e-05  1.124646e-04
     5  -2.758328e+00  -2.763825e+00  7.234881e-05  4.089260e+04  1.196285e+00  2.235826e-05  1.125118e-04
     6  -2.747268e+00  -2.752763e+00  7.809033e-05  4.086506e+04  1.196034e+00  2.237567e-05  1.125615e-04
     7  -2.736206e+00  -2.741702e+00  8.428458e-05  4.083611e+04  1.195770e+00  2.239401e-05  1.126138e-04
     8  -2.725138e+00  -2.730637e+00  9.096964e-05  4.080564e+04  1.195493e+00  2.241333e-05  1.126689e-04
     9  -2.714065e+00  -2.719566e+00  9.818356e-05  4.077358e+04  1.195201e+00  2.243369e-05  1.127270e-04
    10  -2.702986e+00  -2.708490e+00  1.059689e-04  4.073986e+04  1.194893e+00  2.245515e-05  1.127881e-04
    11  -2.691911e+00  -2.697413e+00  1.143624e-04  4.070439e+04  1.194570e+00  2.247776e-05  1.128525e-04
    12  -2.680832e+00  -2.686336e+00  1.234185e-04  4.066711e+04  1.194230e+00  2.250157e-05  1.129203e-04
    13  -2.669748e+00  -2.675255e+00  1.331900e-04  4.062789e+04  1.193872e+00  2.252667e-05  1.129918e-04
    14  -2.658666e+00  -2.664172e+00  1.437275e-04  4.058665e+04  1.193495e+00  2.255311e-05  1.130670e-04
    15  -2.647575e+00  -2.653085e+00  1.550994e-04  4.054329e+04  1.193098e+00  2.258099e-05  1.131462e-04
